# use CTRL + F to search

Symbol: GPT | Network: BSC (BEP20) | Withdrawal fee: 5
Symbol: GPT | Network: ERC20 | Withdrawal fee: 50
Symbol: RVN | Network: RVN | Withdrawal fee: 1
Symbol: ELT | Network: ERC20 | Withdrawal fee: 650
Symbol: SYNR | Network: ERC20 | Withdrawal fee: 300
Symbol: WAVES | Network: Waves | Withdrawal fee: 0.002
Symbol: CHZ | Network: ERC20 | Withdrawal fee: 35
Symbol: INTER | Network: CHZ | Withdrawal fee: 1
Symbol: ROND | Network: MATIC | Withdrawal fee: 1
Symbol: XRP | Network: XRP | Withdrawal fee: 0.25
Symbol: JASMY | Network: ERC20 | Withdrawal fee: 141
Symbol: FLOKI | Network: BSC (BEP20) | Withdrawal fee: 10000
Symbol: FLOKI | Network: ERC20 | Withdrawal fee: 300000
Symbol: FIDA | Network: SOL | Withdrawal fee: 1
Symbol: SAND | Network: ERC20 | Withdrawal fee: 7
Symbol: MMC | Network: BSC (BEP20) | Withdrawal fee: 4
Symbol: C98 | Network: BSC (BEP20) | Withdrawal fee: 0.079
Symbol: PSG | Network: CHZ | Withdrawal fee: 1
Symbol: UMA | Network: ERC20 | Withdrawal fee: 2.61
Symbol: PSP | Network: ERC20 | Withdrawal fee: 22
Symbol: AVA | Network: ERC20 | Withdrawal fee: 7
Symbol: POSI | Network: BSC (BEP20) | Withdrawal fee: 0.5
Symbol: GAL | Network: ERC20 | Withdrawal fee: 0.5
Symbol: SCRT | Network: SCRT | Withdrawal fee: 0.1
Symbol: GASDAO | Network: ERC20 | Withdrawal fee: 233333
Symbol: DLC | Network: BSC (BEP20) | Withdrawal fee: 10
Symbol: SIS | Network: ERC20 | Withdrawal fee: 8.75
Symbol: FB | Network: ERC20 | Withdrawal fee: 1
Symbol: AFC | Network: CHZ | Withdrawal fee: 1
Symbol: THETA | Network: THETA | Withdrawal fee: 0.12
Symbol: ENJ | Network: ERC20 | Withdrawal fee: 10
Symbol: OAS | Network: OAS | Withdrawal fee: 1
Symbol: INSUR | Network: ERC20 | Withdrawal fee: 11.5
Symbol: ESNC | Network: MATIC | Withdrawal fee: 1
Symbol: MELOS | Network: ERC20 | Withdrawal fee: 100
Symbol: GRT | Network: ERC20 | Withdrawal fee: 29
Symbol: MIBR | Network: CHZ | Withdrawal fee: 1
Symbol: NEXO | Network: ERC20 | Withdrawal fee: 6.5
Symbol: ENS | Network: ERC20 | Withdrawal fee: 0.71
Symbol: MOVEZ | Network: BSC (BEP20) | Withdrawal fee: 30
Symbol: MASK | Network: ERC20 | Withdrawal fee: 0.1
Symbol: PTU | Network: ERC20 | Withdrawal fee: 10
Symbol: WLKN | Network: SOL | Withdrawal fee: 1
Symbol: ORT | Network: BSC (BEP20) | Withdrawal fee: 50
Symbol: UNI | Network: ERC20 | Withdrawal fee: 1.16
Symbol: AAVE | Network: ERC20 | Withdrawal fee: 0.32
Symbol: PRIME | Network: ERC20 | Withdrawal fee: 1
Symbol: KASTA | Network: MATIC | Withdrawal fee: 0.25
Symbol: BONK | Network: SOL | Withdrawal fee: 150000
Symbol: PERP | Network: ERC20 | Withdrawal fee: 3.21
Symbol: XDC | Network: XDC | Withdrawal fee: 6.5
Symbol: DZOO | Network: ERC20 | Withdrawal fee: 100
Symbol: MNZ | Network: BSC (BEP20) | Withdrawal fee: 20
Symbol: YFI | Network: ERC20 | Withdrawal fee: 0.00082
Symbol: LUNC | Network: Terra Classic | Withdrawal fee: 0
Symbol: XTZ | Network: XTZ | Withdrawal fee: 1
Symbol: LUNA | Network: Terra | Withdrawal fee: 0.05
Symbol: DEVT | Network: ERC20 | Withdrawal fee: 18
Symbol: KMON | Network: BSC (BEP20) | Withdrawal fee: 30
Symbol: AGI | Network: ERC20 | Withdrawal fee: 15
Symbol: AGI | Network: BSC (BEP20) | Withdrawal fee: 1.5
Symbol: OBX | Network: AVAXC | Withdrawal fee: 10
Symbol: OBX | Network: ERC20 | Withdrawal fee: 2000
Symbol: GM | Network: ERC20 | Withdrawal fee: 160000
Symbol: EOS | Network: EOS | Withdrawal fee: 0.1
Symbol: GST | Network: SOL | Withdrawal fee: 8
Symbol: FORT | Network: ERC20 | Withdrawal fee: 30
Symbol: TIME | Network: BSC (BEP20) | Withdrawal fee: 0.01
Symbol: RACA | Network: BSC (BEP20) | Withdrawal fee: 750
Symbol: RACA | Network: ERC20 | Withdrawal fee: 15000
Symbol: BIT | Network: ERC20 | Withdrawal fee: 8
Symbol: BICO | Network: ERC20 | Withdrawal fee: 2.5
Symbol: SWEAT | Network: ERC20 | Withdrawal fee: 200
Symbol: SWEAT | Network: NEAR | Withdrawal fee: 10
Symbol: AXL | Network: ERC20 | Withdrawal fee: 5
Symbol: XEC | Network: XEC | Withdrawal fee: 1000
Symbol: GCAKE | Network: ERC20 | Withdrawal fee: 10000
Symbol: GCAKE | Network: BSC (BEP20) | Withdrawal fee: 100000
Symbol: GCAKE | Network: MATIC | Withdrawal fee: 100000
Symbol: SOLO | Network: XRP | Withdrawal fee: 0.3
Symbol: PEOPLE | Network: ERC20 | Withdrawal fee: 50
Symbol: PUMLX | Network: ERC20 | Withdrawal fee: 50
Symbol: HVH | Network: ERC20 | Withdrawal fee: 50
Symbol: AXS | Network: ERC20 | Withdrawal fee: 0.39
Symbol: ZIL | Network: ZIL | Withdrawal fee: 0.2
Symbol: CAPS | Network: ERC20 | Withdrawal fee: 600
Symbol: CAPS | Network: BSC (BEP20) | Withdrawal fee: 20
Symbol: XEM | Network: NEM | Withdrawal fee: 4
Symbol: EUROC | Network: ERC20 | Withdrawal fee: 10
Symbol: HOOK | Network: BSC (BEP20) | Withdrawal fee: 0.5
Symbol: VRA | Network: ERC20 | Withdrawal fee: 1000
Symbol: GALFT | Network: CHZ | Withdrawal fee: 0
Symbol: DEFY | Network: ERC20 | Withdrawal fee: 30
Symbol: DEFY | Network: MATIC | Withdrawal fee: 1
Symbol: OKSE | Network: BSC (BEP20) | Withdrawal fee: 1
Symbol: FLOW | Network: FLOW | Withdrawal fee: 0.1
Symbol: SLG | Network: BSC (BEP20) | Withdrawal fee: 3
Symbol: COMP | Network: ERC20 | Withdrawal fee: 0.068
Symbol: PLAY | Network: BSC (BEP20) | Withdrawal fee: 
Symbol: SLP | Network: ERC20 | Withdrawal fee: 439
Symbol: HFT | Network: ERC20 | Withdrawal fee: 5
Symbol: ID | Network: ERC20 | Withdrawal fee: 5
Symbol: ID | Network: BSC (BEP20) | Withdrawal fee: 1.5
Symbol: RUNE | Network: BNB (BEP2) | Withdrawal fee: 0.038
Symbol: FCD | Network: MATIC | Withdrawal fee: 0.3
Symbol: CMP | Network: Caduceus | Withdrawal fee: 1
Symbol: ECOX | Network: ERC20 | Withdrawal fee: 1
Symbol: DOT | Network: DOT | Withdrawal fee: 0.1
Symbol: XWG | Network: BSC (BEP20) | Withdrawal fee: 30
Symbol: SFUND | Network: BSC (BEP20) | Withdrawal fee: 0.2
Symbol: 1INCH | Network: ERC20 | Withdrawal fee: 8.2
Symbol: AVAX | Network: AVAX | Withdrawal fee: 0.01
Symbol: AVAX | Network: AVAXC | Withdrawal fee: 0.02
Symbol: TON | Network: TON | Withdrawal fee: 0.1
Symbol: PLAYOLD | Network: BSC (BEP20) | Withdrawal fee: 3
Symbol: GENE | Network: SOL | Withdrawal fee: 1.4
Symbol: IZI | Network: ERC20 | Withdrawal fee: 175
Symbol: APEX | Network: ERC20 | Withdrawal fee: 15
Symbol: APEX | Network: Arbitrum One | Withdrawal fee: 8
Symbol: FTM | Network: FTM | Withdrawal fee: 0.01
Symbol: FTM | Network: ERC20 | Withdrawal fee: 10
Symbol: EVER | Network: ERC20 | Withdrawal fee: 50
Symbol: AZY | Network: BSC (BEP20) | Withdrawal fee: 10
Symbol: SAITAMA | Network: ERC20 | Withdrawal fee: 200
Symbol: DOME | Network: BSC (BEP20) | Withdrawal fee: 20
Symbol: FTT | Network: ERC20 | Withdrawal fee: 3.8
Symbol: DPX | Network: Arbitrum One | Withdrawal fee: 0.0025
Symbol: ATOM | Network: ATOM | Withdrawal fee: 0.005
Symbol: BOBA | Network: ERC20 | Withdrawal fee: 8
Symbol: GODS | Network: ERC20 | Withdrawal fee: 5.8
Symbol: SNX | Network: ERC20 | Withdrawal fee: 1.5
Symbol: RDNT | Network: Arbitrum One | Withdrawal fee: 1
Symbol: MBS | Network: SOL | Withdrawal fee: 5
Symbol: MBX | Network: Klaytn | Withdrawal fee: 1.5
Symbol: CULT | Network: ERC20 | Withdrawal fee: 1000000
Symbol: KOK | Network: ERC20 | Withdrawal fee: 8
Symbol: ROSE | Network: ROSE | Withdrawal fee: 0.1
Symbol: COT | Network: ERC20 | Withdrawal fee: 500
Symbol: COT | Network: MATIC | Withdrawal fee: 5
Symbol: WAXP | Network: WAX | Withdrawal fee: 2
Symbol: GLMR | Network: GLMR | Withdrawal fee: 0.5
Symbol: KON | Network: KON | Withdrawal fee: 0
Symbol: GGM | Network: BSC (BEP20) | Withdrawal fee: 1.16
Symbol: XYM | Network: XYM | Withdrawal fee: 2
Symbol: DAI | Network: BSC (BEP20) | Withdrawal fee: 0.8
Symbol: DAI | Network: ERC20 | Withdrawal fee: 4
Symbol: DAI | Network: zkSync Lite | Withdrawal fee: 3
Symbol: SOL | Network: SOL | Withdrawal fee: 0.01
Symbol: ERTHA | Network: BSC (BEP20) | Withdrawal fee: 2
Symbol: SON | Network: BSC (BEP20) | Withdrawal fee: 200
Symbol: CITY | Network: CHZ | Withdrawal fee: 1
Symbol: ETC | Network: Ethereum Classic | Withdrawal fee: 0.01
Symbol: SOS | Network: ERC20 | Withdrawal fee: 6717850
Symbol: PIP | Network: SOL | Withdrawal fee: 1
Symbol: BNB | Network: BSC (BEP20) | Withdrawal fee: 0.0005
Symbol: CGPT | Network: BSC (BEP20) | Withdrawal fee: 2
Symbol: ETH | Network: ERC20 | Withdrawal fee: 0.0006
Symbol: ETH | Network: Arbitrum One | Withdrawal fee: 0.0003
Symbol: ETH | Network: BSC (BEP20) | Withdrawal fee: 0.0003
Symbol: ETH | Network: zkSync Lite | Withdrawal fee: 0.00015
Symbol: ETH | Network: Optimism | Withdrawal fee: 0.0003
Symbol: WWY | Network: BSC (BEP20) | Withdrawal fee: 70
