# use CTRL + F to search

Symbol: REN | Network: ERC20 | Withdrawal fee: 43.34180202
Symbol: REP | Network: ERC20 | Withdrawal fee: 1.47379555
Symbol: REVV | Network: ERC20 | Withdrawal fee: 392.41356662
Symbol: REVV | Network: Polygon | Withdrawal fee: 10.0
Symbol: RFUEL | Network: ERC20 | Withdrawal fee: 2061.78652913
Symbol: RIO | Network: Stellar Lumens | Withdrawal fee: 0.1
Symbol: RNT | Network: ERC20 | Withdrawal fee: 118195.48743083
Symbol: RON | Network: Ronin | Withdrawal fee: 0.0001
Symbol: RPL | Network: ERC20 | Withdrawal fee: 0.05
Symbol: RSR | Network: ERC20 | Withdrawal fee: 1044.70508114
Symbol: RSS3 | Network: ERC20 | Withdrawal fee: 29.37267853
Symbol: RVN | Network: Ravencoin | Withdrawal fee: 0.8
Symbol: SAITAMA | Network: ERC20 | Withdrawal fee: 6948.59197169
Symbol: SAMO | Network: Solana | Withdrawal fee: 15.0
Symbol: SAND | Network: ERC20 | Withdrawal fee: 7.03213693
Symbol: SC | Network: Siacoin | Withdrawal fee: 0.08
Symbol: SD | Network: ERC20 | Withdrawal fee: 3.66150808
Symbol: SHIB | Network: ERC20 | Withdrawal fee: 407833.30388748
Symbol: SHIB | Network: SHIBK-OKTC | Withdrawal fee: 0.0
Symbol: SIS | Network: ERC20 | Withdrawal fee: 68.88484708
Symbol: SKEB | Network: ERC20 | Withdrawal fee: 0.1
Symbol: SKL | Network: ERC20 | Withdrawal fee: 116.7640123
Symbol: SLP | Network: ERC20 | Withdrawal fee: 1268.8
Symbol: SNT | Network: ERC20 | Withdrawal fee: 175.8087025
Symbol: SNX | Network: ERC20 | Withdrawal fee: 1.99589779
Symbol: SOL | Network: Solana | Withdrawal fee: 0.008
Symbol: SOLO | Network: Ripple | Withdrawal fee: 0.1
Symbol: SOS | Network: ERC20 | Withdrawal fee: 44710837.87232515
Symbol: SPELL | Network: ERC20 | Withdrawal fee: 5711.01511049
Symbol: SRM | Network: Solana | Withdrawal fee: 0.416
Symbol: SSV | Network: ERC20 | Withdrawal fee: 0.05
Symbol: STARL | Network: ERC20 | Withdrawal fee: 3508771.92982456
Symbol: STC | Network: BSC | Withdrawal fee: 0.01
Symbol: STORJ | Network: ERC20 | Withdrawal fee: 11.37144107
Symbol: STRK | Network: ERC20 | Withdrawal fee: 0.85944427
Symbol: STX | Network: l-Stacks | Withdrawal fee: 1.2
Symbol: SUN | Network: TRC20 | Withdrawal fee: 8.0
Symbol: SUSHI | Network: ERC20 | Withdrawal fee: 4.02860896
Symbol: SUSHI | Network: SUSHIK-OKTC | Withdrawal fee: 0.0
Symbol: SWEAT | Network: ERC20 | Withdrawal fee: 604.76165407
Symbol: SWEAT | Network: NEAR | Withdrawal fee: 2.0
Symbol: SWFTC | Network: ERC20 | Withdrawal fee: 3733.1854487
Symbol: SWRV | Network: ERC20 | Withdrawal fee: 39.94242747
Symbol: T | Network: ERC20 | Withdrawal fee: 0.1
Symbol: TAI | Network: TRC20 | Withdrawal fee: 0.0
Symbol: TAKI | Network: Solana | Withdrawal fee: 10.0
Symbol: TAMA | Network: ERC20 | Withdrawal fee: 50.0
Symbol: TCT | Network: ERC20 | Withdrawal fee: 3340.0
Symbol: THETA | Network: Theta | Withdrawal fee: 0.096
Symbol: THG | Network: BSC | Withdrawal fee: 0.2
Symbol: TON | Network: TON | Withdrawal fee: 0.01
Symbol: TOWN | Network: ERC20 | Withdrawal fee: 381.8856046
Symbol: TRA | Network: Chiliz | Withdrawal fee: 0.0
Symbol: TRB | Network: ERC20 | Withdrawal fee: 0.50484444
Symbol: TRUE | Network: TrueChain | Withdrawal fee: 2.0
Symbol: TRX | Network: TRC20 | Withdrawal fee: 0.8
Symbol: TRX | Network: TRXK-OKTC | Withdrawal fee: 0.0
Symbol: TUP | Network: ERC20 | Withdrawal fee: 473.63442906
Symbol: TUSD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: TUSD | Network: TRC20 | Withdrawal fee: 1.0
Symbol: UMA | Network: ERC20 | Withdrawal fee: 2.14701977
Symbol: UMEE | Network: ERC20 | Withdrawal fee: 1800.56470615
Symbol: UNI | Network: ERC20 | Withdrawal fee: 0.75808476
Symbol: UNI | Network: UNIK-OKTC | Withdrawal fee: 0.0
Symbol: USDP | Network: ERC20 | Withdrawal fee: 4.46765911
Symbol: USTC | Network: Terra Classic | Withdrawal fee: 10.0
Symbol: UTK | Network: ERC20 | Withdrawal fee: 39.4440495
Symbol: VALUE | Network: ERC20 | Withdrawal fee: 22.82036351
Symbol: VELA | Network: Arbitrum one | Withdrawal fee: 0.02
Symbol: VELO | Network: Stellar Lumens | Withdrawal fee: 40.0
Symbol: VELODROME | Network: Optimism | Withdrawal fee: 1.0
Symbol: VRA | Network: ERC20 | Withdrawal fee: 725.34734246
Symbol: VSYS | Network: VSYSTEMS | Withdrawal fee: 0.8
Symbol: WAVES | Network: WAVES | Withdrawal fee: 0.0016
Symbol: WAXP | Network: Wax | Withdrawal fee: 0.1
Symbol: WAXP | Network: ERC20 | Withdrawal fee: 20.0
Symbol: WBTC | Network: ERC20 | Withdrawal fee: 0.000136
Symbol: WBTC | Network: WBTCK-OKTC | Withdrawal fee: 0.0
Symbol: WGRT | Network: WGRT | Withdrawal fee: 10.0
